,text,label
22331,Посидел недельку и устал ,0
22332,путина нагнули арабы          хуже то  что друзья миллиардеры питуна полезут по карманам россиян    ,0
22333,С великим драматургом прощаются  а тру либерасы всё о своем ,0
22334,некорректно сравнивать новый штамм вируса с уже давно известным сезонным,1
22335,Помнится раньше ныли  что  если у тебя легкая степень коронавируса и тебя ложили в инфекционную больницу  то тебя хотели чуть ли не убить  При этом все считали себя здоровыми  в отличии от тех  кто там лежит  Теперь предлагают лечиться дома  но и это оказалось плохо  ,1
22336,Опять  нож в спину  ,0
22337,Вера  может  и хорошо поет  вот только в мужиках все никак не научится разбираться  Как минимум в том проблема  что ее жених обожает внимание и готов ради него пудрить людям мозги  Как минимум с поправками такое было ,1
22338,Вроде в Италии живых мышей не едят  да и на улице не мочатся  как китайцы  а эпидемиологическая обстановка куда хуже  Вот тебе и  старый свет  ,1
22339,госдеповские боты создают общественное негативное мнение в комментах   ничего за    лет не изменилось,0
22340,Хорошо  что хоть я дома   хоть заморачиваться с госуслугами не надо  а то я там не зарегистрирован ,1
22341,Надеюсь этого дикого пса пристрелят уже в скором времени  таким не место в    веке ,0
22342,А в    году его почему отменили  А в       не отменяли получсется ,0
22343,Американцы нашли о чём думать сейчас  Наши самолеты сами знают где летать и не нарушают границ чужих государств  Пусть проблемами с коронавирусом занимаются лучше,1
22344,Уху ели с утра ,0
22345,У вас там в редакции идиоты сидят   Почему они настаивают на соблюдении всех ограничений   Вы это серьезно или просто любите тупые вопросы задавать ,1
22346,Животные могут говорить  только обычно те  которые по подъездам бухают ,1
22347,Сейчас все это делают главное донести полезности,1
22348,А говорили что антибиотиками этот вирус не лечат ,0
22349,Привезти баночку из Китая в подошве обуви никто не запрещает  Для разных государств это отличный повод избавится от конкурирующих стран  При этом никто никогда искать никого не будет ,0
22350,Выписать выписывают  но для начала почему они попадают  У нас не просто так самоизоляцию ввели  в Испании видимо отношение   ну помрет  ниче  пожил ,1
22351,Прекратила постить это фото  Не приятный чел ,0
22352,после очередной девальвации рубля цена на эту игрушку свалит с ног почище любого короновируса   ,0
22353,Скоро и делить ничего не надо будет   Один раз в день покушал и хорошо ,0
22354,Здорово ведь  Всем здоровья  Пользуйтесь только официальными источниками и соблююдайте рекомендации  Мы поборем эту гадость ,1
22355,Отправили в СИЗО  значит и наказание по этому делу будет соответствующее  Ждем результатов расследования ,1
22356,Ну фсе    апокалипсис   Кого на мыло ,0
22357,Может его замуж взяли ,0
22358,в сша работает а в россии это контроль за допуском к еде ,0
22359,Ну да  умирают люди  В США     человек умерло  Но в том году там же умерло    тысяч от обычного орви  Что то пандемии никакой там не объявляли по этому поводу ,1
22360,Для чего только они ее не использую ,0
22361,Про этот футбол так пишут  как будто вам запретили дышать  Насрать на мяч  люди пусть здоровыми будут ,1
22362,далее будут выявлять фейки о перхоти кариесе и прыщам нпконец то чем то значимым займуться,0
22363,А я думаю это правильно современно и удобно,1
22364,А почему водка а не вода ,0
22365,До этого случая и знать ее не знала  а теперь она мелькает везде   ,0
22366,Какая разница с какого двора парень  никто не имеет права его выгонять с площадки и кроме его мопса на видео видно еще животных которые спокойно гуляют по площадке,0
22367,Достаточно на карту распространения взглянуть  чтобы понять  где врачи лучше справляются      тыс американских зараженных  против     у нас  Разница очевидна ,1
22368,Знают кто  знают когда  знают где  но    не за что зацепиться ,0
22369,А это реально помогает  просто так интересуюсь   ,1
22370,молодые   это те  кому по    лет в среднем   и какая разница  какого они возраста  если эти люди планировали целую серию террактов  они преступники  при чем опасные для общества  им и место за решеткой  и именно на тот срок  который им и дали,1
22371,Переходят на внутренний рынок  чтоб задействовать самолеты  разобраться арендой  А вообще может потребоваться господдержка ,1
22372,Ну во всех странах его подтвердят  у нас же не такая изоляция по миру,1
22373,Когда появиться радио на винк тв и мегого тв,0
22374,Соберите свои иички в кулак И начните уже хотя бы из дома работать,0
22375,Раз два три четыре пять  дома нам сидеть опять,0
22376,Теперь наоборот кажется что это так и есть  ,0
22377,Ты приходи один и мы придём одни,0
22378,Сейчас и метрополитен в Москве сократил число действующих вестибюлей  ржд тоже прекратили движение по некоторым маршрутам  Вот и авиакомпании не остались в стороне  Прекратить полностью  плохая идея  но вот отменить скидки и сократить число перелетов  это дело   P s  Так глядишь и Грета Тунберг пойдет в школу  воздух же чистым станет,1
22379,Ахахаахаххпхп Снизить цены на электронные книги   помощь издательствам       ,0
22380,Вот вам в ленту    Это  Иркутск детка ,0
22381,как обычно  две стороны  одни паникуют  другие утверждают  что вирус безопасен не бросайтесь из крайностей в крайности  соблюдайте рекомендации и все будет нормально,1
22382,Да наследствено и вы сдохните,0
22383,Хороший рекламный ход  заботы здесь никакой нет  просто бизнес  чтобы привлечь аудиторию ,0
22384,Это очень важный процесс ,1
22385,Я благодарна таким роликам,0
22386,Больше похоже на сломанный телефон ,1
22387,Меня  с каждым днем  всё больше  терзают смутные сомнения  что в распространении данного вируса виноваты китайцы и летучие мыши  Что то тут подозрительно  ,0
22388,Он как обычно  как бы дал  но вроде как и не дал  Призвал  как обычно  Призыватель какой то  а не президент  Дадут только тем предприятиям  что сохранили не менее     рабочих мест и выплачивали з п в полном объёме  То есть только для получения этих денег придётся всё это доказывать  бумаги  волокита и т п  Это так же как Сбер завернул     заявок на получение беспроцентных кредитов на выплату з п ,0
22389,Система здравоохранения должна быть готова к повышенным нагрузкам  в то же время нельзя допускать сбоев   все это сейчас учитывается ,1
22390,Ага  и пусть ещё заочно расстреляют  ,0
22391,Как было не ввести в Москве пропуска  если народ сам на это напрашивался  Как спрашивать с тех  кто нарушает режим самоизоляции  если по городу шарахаются инфицированные и разносят заразу  Чем строже  тем меньше хлопот медикам ,1
22392,ну так естественно  сейчас все из за вируса откладывается,1
22393,здоровоски  мне кажется надо всю страну так от уплат освобождать,1
22394, какие проблемы то тут могут быть ,1
22395,Карантин это мера предосторожности  поэтому пренебрегать ей точно нельзя  а вот идти и скупать все в магазин  как папуас неадекватный точно не стоит,1
22396,Может оно и правильно  Постоянно в новостях говорят о смертельных дтп   Так что я за безопасную дорогу,1
22397,Выиграет на этом только ЖКУ   ,0
22398,Так то смертность от коронавируса менее процента  есть и более опасные болезни  А вот распространение  конечно  нужно останавливать ,1
22399,Я не особо слежу за рейсами Аэрофлота  куда они там все летают  но  возможно  надо было сделать это раньше  Почти везде уже новый вирус отметился  А закрытие границ  хотя бы на время  хороший способ оборвать ему пути развития ,1
22400,Хотя очки   это не медикаменты  но по стране не мало людей  кому могут они понадобиться  Даже среди врачей есть те  кто носит их ,1
22401,На Даунинг это самэ то что ему подходит   ,0
22402,в основном это старики и люди с патологией,1
22403,Нормально хайпанул  На    т ,0
22404,Моя бывшая одношкольница с нашего села сейчас живёт в Милане  Мы с ней периодически переписываемся  Настроение у многих итальянцев подавленное  И все живут надеждой  скорее бы кончился этот кошмар ,0
22405,Сегодня  в очередной раз  президент напомнил всем  что люди важнее бизнеса  Главный критерий  по которому будет оказываться гос помощь   сохранение рабочих мест ,1
22406,А могут быть просто бесполезными ,0
22407,что не делай в рашке при этой власти  тебя один хер кинут  многоходовочка от путина  и эти дятлы нас недавно убеждали что без путина страна пропадет  а сейчас страна без путина  он не за что не отвечает   ,0
22408,Поддержка через кредитование  Отлично  Добить окончательно  чтоб не мучались долго,0
22409,не бросать же учебу   на свежем воздухе у дерева тоже не плохо учиться,1
22410,Кто то из школьников решил таким образом каникулы продлить ,0
22411,Прям кадры из фильма Я легенда  ,0
22412,Да  интересно  где он вирус подхватил ,0
22413,В список надо включить матерей одиночек  А инвалиды как раз в любой месяц могут отдыхать Чего им летом обязательно ,0
22414,А для людей сидящих дома без денег не трудное время И когда власть начнёт добрые поступки делать а не сказки рассказывать   ,0
22415,События второй мировой войны всё более отдаляются во времени  И пусть кажутся уже чем то малозначимым  но забывать  что это была мировая война   нельзя  И задумываться над её происхождением  итогами и уроками  нужно гораздо чаще  Чтобы не было повторения ,1
22416,тем не менее мы уже теряем клиентов https   zen yandex ru media id  b  c           aa e     pechalnaia novost s polei neftianyh voin chto ne pokajut po tv udar prishel otkuda ne jdali ki    e   b   cd    a    fcc ,0
22417,Через час полетят звезды и будет раздача люлей в фсб  Да и преступники в конец дерзкие уже пошли ,0
